subID,expID,object,learned,pretrained,i1_curr_targetObj,i1_curr_targetProp,i1_curr_distObj_1,i1_curr_distProp_1,i1_curr_distObj_2,i1_curr_distProp_2,i1_curr_distObj_3,i1_curr_distProp_3,i1_prev_target,i1_prev_dist_1,i1_prev_dist_2,i1_prev_dist_3,i2_curr_targetObj,i2_curr_targetProp,i2_curr_distObj_1,i2_curr_distProp_1,i2_curr_distObj_2,i2_curr_distProp_2,i2_curr_distObj_3,i2_curr_distProp_3,i2_prev_target,i2_prev_dist_1,i2_prev_dist_2,i2_prev_dist_3,i3_curr_targetObj,i3_curr_targetProp,i3_curr_distObj_1,i3_curr_distProp_1,i3_curr_distObj_2,i3_curr_distProp_2,i3_curr_distObj_3,i3_curr_distProp_3,i3_prev_target,i3_prev_dist_1,i3_prev_dist_2,i3_prev_dist_3,i4_curr_targetObj,i4_curr_targetProp,i4_curr_distObj_1,i4_curr_distProp_1,i4_curr_distObj_2,i4_curr_distProp_2,i4_curr_distObj_3,i4_curr_distProp_3,i4_prev_target,i4_prev_dist_1,i4_prev_dist_2,i4_prev_dist_3,i5_curr_targetObj,i5_curr_targetProp,i5_curr_distObj_1,i5_curr_distProp_1,i5_curr_distObj_2,i5_curr_distProp_2,i5_curr_distObj_3,i5_curr_distProp_3,i5_prev_target,i5_prev_dist_1,i5_prev_dist_2,i5_prev_dist_3,i6_curr_targetObj,i6_curr_targetProp,i6_curr_distObj_1,i6_curr_distProp_1,i6_curr_distObj_2,i6_curr_distProp_2,i6_curr_distObj_3,i6_curr_distProp_3,i6_prev_target,i6_prev_dist_1,i6_prev_dist_2,i6_prev_dist_3
18511,185,1,0,0,1,0.98978,9,0.0,17,0.0,16,0.0,0,0,0,0,1,0.72356,13,0.22133,3,0.029333,12,0.0,1,18,3,6,1,0.39867,14,0.276,8,0.21556,18,0.093333,1,14,16,-1,1,0.41556,4,0.38044,15,0.15956,16,0.0,-1,17,15,13,1,0.11511,15,0.33733,11,0.18533,18,0.17689,15,5,-1,-1,1,0.26444,13,0.31911,7,0.19511,8,0.17733,13,-1,7,-1
18511,185,2,1,0,2,0.276,7,0.44311,5,0.15822,10,0.088889,0,0,0,0,2,0.0,4,0.60756,6,0.30978,10,0.046667,6,6,10,-1,2,0.65733,11,0.30133,16,0.023556,8,0.0,4,0,1,0,2,0.69022,14,0.29244,9,0.0,17,0.0,2,14,9,5,2,0.71911,5,0.18667,13,0.059111,11,0.0,2,-1,16,5,2,0.39822,4,0.27511,9,0.11556,12,0.088444,2,-1,17,-1
18511,185,3,1,0,3,0.61156,6,0.37244,4,0.0057778,14,0.0,0,0,0,0,3,0.41689,1,0.22133,12,0.19422,13,0.14844,3,1,6,18,3,0.35778,15,0.61689,6,0.0,14,0.0,0,-1,6,14,3,0.77867,13,0.21244,9,0.0,16,0.0,15,12,-1,8,3,0.78933,17,0.11333,12,0.071556,5,0.0,3,-1,-1,11,3,0.76578,13,0.23422,18,0.0,10,0.0,3,13,11,-1
18511,185,4,1,0,4,0.0,6,1.0,14,0.0,3,0.0,0,0,0,0,4,0.48489,2,0.50667,6,0.0,10,0.0,-1,6,6,10,4,0.39022,17,0.59289,5,0.0,7,0.0,18,2,-1,-1,4,0.079111,1,0.30756,16,0.19556,15,0.14178,-1,13,15,17,4,0.368,14,0.38178,11,0.224,7,0.0,9,-1,-1,-1,4,0.84133,2,0.15022,9,0.0,12,0.0,-1,2,17,-1
18511,185,5,0,0,5,0.0,2,0.49689,10,0.26978,7,0.22133,0,0,0,0,5,0.34933,7,0.65067,4,0.0,17,0.0,-1,-1,2,18,5,0.368,12,0.26622,14,0.18667,7,0.16267,7,-1,18,7,5,0.18711,11,0.40533,10,0.21333,15,0.10667,8,10,-1,-1,5,0.17778,11,0.648,13,0.10578,2,0.015556,5,-1,16,2,5,0.0,17,0.41556,3,0.40756,12,0.16,-1,3,-1,11
18511,185,6,0,0,6,0.0,4,1.0,14,0.0,3,0.0,0,0,0,0,6,0.77689,18,0.16267,12,0.0,13,0.0,4,0,0,0,6,0.67289,10,0.19511,4,0.052,2,0.0,6,6,10,-1,6,0.34178,3,0.36444,14,0.15111,15,0.098667,6,-1,14,0,6,0.64711,12,0.344,9,0.0,15,0.0,-1,5,9,15,6,0.0,8,0.78222,16,0.20933,10,0.0,6,8,-1,10
18511,185,7,1,0,7,0.17778,2,0.48622,10,0.148,5,0.12667,0,0,0,0,7,1.0,4,0.0,17,0.0,5,0.0,-1,2,18,-1,7,0.59111,14,0.13289,12,0.090222,5,0.0,7,7,18,-1,7,0.32444,13,0.336,1,0.19689,8,0.116,7,13,-1,-1,7,1.0,4,0.0,14,0.0,11,0.0,-1,-1,9,-1,7,0.20178,11,0.79822,17,0.0,8,0.0,7,11,5,6
18511,185,8,0,0,8,0.48756,2,0.22133,11,0.14889,16,0.11644,0,0,0,0,8,0.0,16,1.0,18,0.0,15,0.0,-1,-1,-1,3,8,0.47689,14,0.25822,1,0.14311,18,0.10311,16,14,1,-1,8,0.52267,13,0.24978,7,0.12933,1,0.0,-1,13,7,-1,8,0.22978,6,0.75244,16,0.0,10,0.0,8,6,-1,10,8,0.25778,17,0.46,11,0.25822,7,0.0,5,11,6,7
18511,185,9,1,0,9,0.34667,16,0.636,17,0.0,1,0.0,0,0,0,0,9,0.29289,17,0.35244,10,0.17644,18,0.080444,17,16,4,13,9,0.81733,16,0.17378,13,0.0,3,0.0,-1,8,12,15,9,0.72711,12,0.16622,15,0.097778,6,0.0,9,5,15,-1,9,0.0,17,0.65911,2,0.11911,14,0.11422,9,5,2,14,9,0.404,12,0.4,4,0.16222,2,0.0,17,-1,-1,2
18511,185,10,1,0,10,0.75556,5,0.22756,7,0.0,2,0.0,0,0,0,0,10,0.21244,4,0.64089,2,0.12089,6,0.0,10,6,-1,6,10,0.89467,9,0.096444,18,0.0,17,0.0,4,16,13,17,10,0.68222,5,0.21067,15,0.088889,11,0.0,10,-1,-1,8,10,0.33467,8,0.24,6,0.21956,16,0.0,10,8,6,-1,10,0.82356,18,0.16756,13,0.0,3,0.0,-1,11,13,3
18511,185,11,1,0,11,0.11156,8,0.576,16,0.30356,2,0.0,0,0,0,0,11,0.23956,5,0.58667,15,0.14622,10,0.0,-1,8,-1,10,11,0.098222,5,0.60311,13,0.26267,2,0.0,-1,16,5,2,11,0.22133,18,0.42489,1,0.15956,15,0.0,-1,5,-1,15,11,0.65556,7,0.20444,14,0.12222,4,0.0,-1,-1,9,-1,11,0.10711,8,0.46622,17,0.21244,7,0.16089,11,6,5,7
18511,185,12,0,0,12,0.348,6,0.63378,13,0.0,18,0.0,0,0,0,0,12,0.12489,13,0.48622,3,0.19556,1,0.15022,18,3,1,6,12,0.0,5,0.80356,14,0.19644,7,0.0,7,18,7,-1,12,0.376,6,0.17733,15,0.164,9,0.10711,5,-1,15,9,12,0.0,5,0.48711,17,0.36222,3,0.0,11,-1,-1,3,12,0.08,9,0.50933,2,0.32,4,0.0,17,2,-1,-1
18511,185,13,1,0,13,0.44222,18,0.54089,12,0.0,6,0.0,0,0,0,0,13,0.32844,12,0.59644,1,0.040889,3,0.0,6,18,1,3,13,0.35733,16,0.54889,9,0.058667,3,0.0,8,12,-1,15,13,1.0,2,0.0,5,0.0,11,0.0,16,2,-1,5,13,0.68889,8,0.31067,1,0.0,7,0.0,13,-1,-1,7,13,0.85778,3,0.14222,18,0.0,10,0.0,13,3,11,-1
18511,185,14,0,0,14,0.70311,4,0.288,6,0.0,3,0.0,0,0,0,0,14,0.86089,6,0.12133,15,0.0,3,0.0,14,6,0,-1,14,0.176,18,0.644,8,0.0,1,0.0,14,-1,16,1,14,0.63867,7,0.31022,5,0.0,12,0.0,18,7,7,-1,14,0.0,9,0.604,2,0.23289,17,0.14622,14,9,2,5,14,0.99556,4,0.0044444,11,0.0,7,0.0,9,-1,-1,-1
18511,185,15,1,0,15,0.22133,3,0.62356,14,0.14711,6,0.0,0,0,0,0,15,0.46,16,0.44933,18,0.0,8,0.0,3,-1,-1,-1,15,0.89156,10,0.10844,5,0.0,11,0.0,-1,10,-1,8,15,0.52978,12,0.44311,6,0.0,9,0.0,15,5,-1,9,15,0.63111,4,0.21289,16,0.13822,1,0.0,15,17,13,-1,15,0.19556,11,0.27956,1,0.0,18,0.0,15,5,-1,-1
18511,185,16,0,0,16,0.0,1,0.56578,17,0.42533,9,0.0,0,0,0,0,16,0.22622,11,0.45467,2,0.29244,8,0.0,0,4,1,0,16,0.176,8,0.79867,18,0.0,15,0.0,-1,-1,-1,3,16,0.0,13,0.94622,3,0.044889,9,0.0,12,15,-1,8,16,0.448,4,0.23156,15,0.13378,1,0.092,13,17,15,-1,16,0.63156,6,0.22133,8,0.12978,10,0.0,-1,6,8,10
18511,185,17,0,0,17,0.81511,16,0.168,9,0.0,1,0.0,0,0,0,0,17,0.11911,18,0.59422,10,0.13333,9,0.091556,17,13,4,16,17,0.40978,5,0.58178,4,0.0,7,0.0,-1,18,2,-1,17,0.0,2,0.48667,14,0.48667,9,0.0,2,14,9,5,17,0.097778,5,0.52444,3,0.17689,12,0.16933,11,3,-1,-1,17,0.0,7,0.63289,8,0.25956,11,0.088889,7,6,11,5
18511,185,18,0,0,18,0.0,13,1.0,12,0.0,6,0.0,0,0,0,0,18,0.42489,17,0.37156,9,0.19467,10,0.0,13,17,16,4,18,0.48756,15,0.21333,16,0.088889,8,0.071556,-1,3,-1,-1,18,0.0,1,0.45911,14,0.25556,8,0.16756,1,14,16,-1,18,0.0,11,0.70578,15,0.14311,1,0.13333,5,15,-1,-1,18,0.756,3,0.22578,13,0.0,10,0.0,11,3,13,-1
18512,185,1,1,0,1,1.0,9,0.0,17,0.0,16,0.0,0,0,0,0,1,0.0,3,0.58089,12,0.40133,13,0.0,1,-1,12,-1,1,0.51289,8,0.48711,14,0.0,18,0.0,3,16,15,15,1,0.94844,16,0.0035556,4,0.0,15,0.0,1,9,-1,15,1,0.0,11,0.83733,15,0.099111,18,0.0,1,1,13,-1,1,0.656,13,0.32089,7,0.0,8,0.0,11,5,12,-1
