expID,subID,threshold,label#,onset,offset,learned,pretrained,roi_at_label_onset,roi_at_label_onset_long,prior,prior_long,switch,switch_long,next,next_long,stateID,stateID_long,GazeDistributionBucket,GazeDistributionBucket_long,targetGazeCount,targetGazeCount_long,targetGazeCountOffWindows,targetGazeCountOffWindows_long,uniqueObjectsVisitedCount,uniqueObjectsVisitedCount_long,skewed,skewed_long,correctness,correctness_long,preLabelWindowCount,preLabelWindowCount_long,trial,labelingInstance,SubjObjectGazeProp
185,18511,0.7,10,2.25,4.5,1,0,5,5,0,0,1,1,1,1,5,5,6,6,1,1,4,4,2,2,1,1,2,2,2,2,1,1,0.905780684
185,18511,0.7,5,4.5,6.75,0,0,0,0,0,0,1,1,0,0,6,6,1,1,0,0,4,4,3,3,0,0,0,0,1,1,1,1,0.905780684
185,18511,0.7,7,6.75,9,1,2,10,10,0,0,1,1,0,0,6,6,1,1,1,1,2,2,4,4,0,0,0,0,1,1,1,1,0.905780684
185,18511,0.7,2,9,11.25,1,1,5,5,0,0,1,1,1,1,5,5,2,2,2,2,4,4,4,4,0,0,1,1,1,1,1,1,0.905780684
185,18511,0.7,14,13.7,15.95,0,0,14,14,1,1,0,0,1,1,3,3,6,6,1,1,0,0,2,2,1,1,2,2,1,1,2,1,0.905780684
185,18511,0.7,6,15.95,18.2,0,3,4,4,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,2,1,0.905780684
185,18511,0.7,3,18.2,20.45,1,3,4,4,0,0,1,1,1,1,5,5,6,6,1,1,0,0,3,3,1,1,2,2,0,0,2,1,0.905780684
185,18511,0.7,4,20.45,22.7,1,0,6,6,0,0,0,0,0,0,8,8,4,4,0,0,3,3,1,1,1,1,0,0,1,1,2,1,0.905780684
185,18511,0.7,12,25.15,27.4,0,0,12,12,1,1,0,0,1,1,3,3,5,5,1,1,0,0,2,2,1,1,1,1,1,1,3,1,0.905780684
185,18511,0.7,6,27.4,29.65,0,3,6,6,1,1,0,0,1,1,3,3,6,6,1,1,1,1,2,2,1,1,2,2,0,0,3,2,0.905780684
185,18511,0.7,13,29.65,31.9,1,1,18,18,0,0,0,0,0,0,8,8,5,5,1,1,1,1,2,2,1,1,1,1,0,0,3,1,0.905780684
185,18511,0.7,18,31.9,34.15,0,2,13,13,0,0,0,0,0,0,8,8,4,4,0,0,2,2,1,1,1,1,0,0,0,0,3,1,0.905780684
185,18511,0.7,9,36.6,38.85,1,2,9,9,1,1,0,0,1,1,3,3,5,5,1,1,0,0,2,2,1,1,1,1,3,2,4,1,0.905780684
185,18511,0.7,17,38.85,41.1,0,0,16,16,0,0,1,1,1,1,5,5,6,6,1,1,1,1,2,2,1,1,2,2,0,0,4,1,0.905780684
185,18511,0.7,16,41.1,43.35,0,0,17,17,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,1,1,4,1,0.905780684
185,18511,0.7,1,43.35,45.6,0,0,1,1,1,1,0,0,1,1,3,3,6,6,1,1,1,1,1,1,1,1,2,2,0,0,4,1,0.905780684
185,18511,0.7,4,48.05,50.3,1,0,2,2,0,0,0,0,0,0,8,8,5,5,1,1,3,3,2,2,1,1,1,1,0,0,5,2,0.905780684
185,18511,0.7,2,50.3,52.55,1,1,4,4,0,0,0,0,0,0,8,8,4,4,0,0,2,2,3,3,1,1,0,0,1,1,5,2,0.905780684
185,18511,0.7,6,52.55,54.8,0,3,10,10,0,0,1,1,1,1,5,5,6,6,2,2,1,1,3,3,1,1,2,2,0,0,5,3,0.905780684
185,18511,0.7,10,54.8,57.05,1,0,4,4,0,0,0,0,0,0,8,8,5,5,1,1,3,2,3,3,1,1,1,1,0,0,5,2,0.905780684
185,18511,0.7,12,59.5,61.75,0,0,13,13,0,0,1,1,0,0,6,6,1,1,1,1,3,3,4,4,0,0,0,0,1,1,6,2,0.905780684
185,18511,0.7,3,61.75,64,1,3,13,13,0,0,1,1,0,0,6,6,3,3,2,2,2,2,4,4,0,0,2,2,0,0,6,2,0.905780684
185,18511,0.7,1,64,66.25,0,0,3,3,0,0,1,1,0,0,6,6,6,6,2,2,3,3,3,3,1,1,2,2,0,0,6,2,0.905780684
185,18511,0.7,13,66.25,68.5,1,1,1,1,0,0,1,1,0,0,6,6,5,5,1,1,6,6,3,3,1,1,1,1,2,2,6,2,0.905780684
185,18511,0.7,18,70.95,73.2,0,2,17,17,0,0,0,0,0,0,8,8,3,3,2,2,3,3,3,3,0,0,2,2,0,0,7,2,0.905780684
185,18511,0.7,9,73.2,75.45,1,2,18,18,0,0,1,1,0,0,6,6,2,2,1,1,3,3,4,4,0,0,1,1,0,0,7,2,0.905780684
185,18511,0.7,17,75.45,77.7,0,0,17,17,1,1,1,1,0,0,2,2,4,4,1,1,2,2,4,4,1,1,0,0,2,2,7,2,0.905780684
185,18511,0.7,10,77.7,79.95,1,0,9,9,0,0,1,1,1,1,5,5,6,6,1,1,2,2,2,2,1,1,2,2,1,1,7,3,0.905780684
185,18511,0.7,11,82.4,84.65,1,3,11,11,1,1,1,1,0,0,2,2,4,4,1,1,3,3,3,3,1,1,0,0,1,1,8,1,0.905780684
185,18511,0.7,8,84.65,86.9,0,0,16,16,0,0,1,1,0,0,6,6,3,3,1,1,1,1,4,4,0,0,2,2,1,1,8,1,0.905780684
185,18511,0.7,16,86.9,89.15,0,0,11,11,0,0,0,0,0,0,8,8,2,2,1,1,4,4,3,3,0,0,1,1,2,2,8,2,0.905780684
185,18511,0.7,2,89.15,91.4,1,1,16,16,0,0,1,1,1,1,5,5,6,6,2,2,2,2,3,3,1,1,2,2,1,1,8,3,0.905780684
185,18511,0.7,4,93.85,96.1,1,0,4,4,1,1,1,1,0,0,2,2,5,5,2,2,0,0,2,2,1,1,1,1,2,2,9,3,0.905780684
185,18511,0.7,17,96.1,98.35,0,0,17,17,1,1,0,0,1,1,3,3,5,5,1,1,2,2,2,2,1,1,1,1,1,1,9,3,0.905780684
185,18511,0.7,5,98.35,100.6,0,0,5,5,1,1,0,0,1,1,3,3,5,5,1,1,1,1,2,2,1,1,1,1,1,1,9,2,0.905780684
185,18511,0.7,7,100.6,102.85,1,2,7,7,1,1,0,0,1,1,3,3,6,6,1,1,1,1,1,1,1,1,2,2,0,0,9,2,0.905780684
185,18511,0.7,6,105.3,107.55,0,3,3,3,0,0,0,0,0,0,8,8,2,2,2,2,1,1,4,4,0,0,1,1,0,0,10,4,0.905780684
185,18511,0.7,14,107.55,109.8,0,0,6,6,0,0,1,1,1,1,5,5,6,6,1,1,2,2,2,2,1,1,2,2,0,0,10,2,0.905780684
185,18511,0.7,15,109.8,112.05,1,1,14,14,0,0,1,1,0,0,6,6,5,5,1,1,3,3,3,3,1,1,1,1,0,0,10,1,0.905780684
185,18511,0.7,3,112.05,114.3,1,3,3,3,1,1,1,1,0,0,2,2,5,5,2,2,3,3,2,2,1,1,1,1,1,1,10,3,0.905780684
185,18511,0.7,18,116.75,119,0,2,0,0,0,0,1,1,1,1,5,5,3,3,1,1,0,0,4,4,0,0,2,2,1,1,11,3,0.905780684
185,18511,0.7,16,119,121.25,0,0,8,8,0,0,0,0,0,0,8,8,4,4,2,2,5,3,2,2,1,1,0,0,1,1,11,3,0.905780684
185,18511,0.7,8,121.25,123.5,0,0,16,16,0,0,1,0,0,0,6,8,4,4,0,0,3,3,1,1,1,1,0,0,1,1,11,2,0.905780684
185,18511,0.7,15,123.5,125.75,1,1,16,16,0,0,0,0,0,0,8,8,3,3,1,1,1,1,2,2,0,0,2,2,0,0,11,2,0.905780684
185,18511,0.7,14,128.2,130.45,0,0,18,18,0,0,1,1,0,0,6,6,4,4,1,1,3,3,2,2,1,1,0,0,0,0,12,3,0.905780684
185,18511,0.7,8,130.45,132.7,0,0,14,14,0,0,1,1,0,0,6,6,3,3,1,1,2,2,4,4,0,0,2,2,0,0,12,3,0.905780684
185,18511,0.7,1,132.7,134.95,0,0,18,18,0,0,1,1,0,0,6,6,3,3,1,1,2,2,4,4,0,0,2,2,0,0,12,3,0.905780684
185,18511,0.7,18,134.95,137.2,0,2,8,8,0,0,1,1,0,0,6,6,1,1,1,0,5,4,4,3,0,0,0,0,2,1,12,4,0.905780684
185,18511,0.7,7,139.65,141.9,1,2,0,0,0,0,1,1,1,1,5,5,6,6,3,3,2,2,3,3,1,1,2,2,0,0,13,3,0.905780684
185,18511,0.7,5,141.9,144.15,0,0,7,7,0,0,1,1,0,0,6,6,3,3,2,2,1,1,4,4,0,0,2,2,0,0,13,3,0.905780684
185,18511,0.7,12,144.15,146.4,0,0,5,5,0,0,0,0,0,0,8,8,4,4,0,0,2,2,2,2,1,1,0,0,1,1,13,3,0.905780684
185,18511,0.7,14,146.4,148.65,0,0,14,14,1,1,0,0,1,1,3,3,6,6,2,2,3,3,2,2,1,1,2,2,1,1,13,4,0.905780684
185,18511,0.7,9,151.1,153.35,1,2,16,16,0,0,1,1,1,1,5,5,6,6,2,2,1,1,2,2,1,1,2,2,0,0,14,3,0.905780684
185,18511,0.7,13,153.35,155.6,1,1,9,9,0,0,1,1,1,1,5,5,5,5,2,2,2,2,3,3,1,1,1,1,0,0,14,3,0.905780684
185,18511,0.7,3,155.6,157.85,1,3,13,13,0,0,1,1,1,1,5,5,6,6,1,1,1,1,2,2,1,1,2,2,1,1,14,4,0.905780684
185,18511,0.7,16,157.85,160.1,0,0,3,3,0,0,1,1,0,0,6,6,4,4,0,0,3,3,2,2,1,1,0,0,2,2,14,4,0.905780684
185,18511,0.7,5,162.55,164.8,0,0,11,11,0,0,1,1,1,1,5,5,1,1,2,2,3,3,4,4,0,0,0,0,1,1,15,4,0.905780684
185,18511,0.7,10,164.8,167.05,1,0,5,5,0,0,1,1,0,0,6,6,6,6,2,1,2,2,3,3,1,1,2,2,0,0,15,4,0.905780684
185,18511,0.7,15,167.05,169.3,1,1,10,10,0,0,1,1,1,1,5,5,6,6,1,1,3,3,2,2,1,1,2,2,0,0,15,3,0.905780684
185,18511,0.7,11,169.3,171.55,1,3,15,15,0,0,1,1,0,0,6,6,5,5,1,1,2,2,3,3,1,1,1,1,1,1,15,2,0.905780684
185,18511,0.7,6,174,176.25,0,3,12,12,0,0,0,0,0,0,8,8,6,6,1,1,2,2,2,2,1,1,2,2,2,2,16,5,0.905780684
